,k1,k10,k11,k12,k13,k17,k18,k19,k2,k3,k5,k8,modified,fixed
149,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01291549665014884,1.0,1.0,k3,3
150,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.021544346900318832,1.0,1.0,k3,1
151,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.03593813663804626,1.0,1.0,k3,1
152,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.05994842503189409,1.0,1.0,k3,1
153,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.1,1.0,1.0,k3,1
154,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k3,3
155,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.001,1.0,1.0,k3,1
156,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.0016681005372000592,1.0,1.0,k3,1
157,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.0027825594022071257,1.0,1.0,k3,1
158,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.004641588833612777,1.0,1.0,k3,1
159,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.007742636826811269,1.0,1.0,k3,1
160,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01291549665014884,1.0,1.0,k3,3
161,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.021544346900318832,1.0,1.0,k3,1
162,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.03593813663804626,1.0,1.0,k3,1
163,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.05994842503189409,1.0,1.0,k3,1
164,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.1,1.0,1.0,k3,1
165,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k5,1
166,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,0.1,1.0,k5,1
167,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,0.16681005372000587,1.0,k5,1
168,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,0.2782559402207124,1.0,k5,1
169,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,0.46415888336127786,1.0,k5,1
170,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,0.774263682681127,1.0,k5,1
171,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.291549665014884,1.0,k5,1
172,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,2.1544346900318834,1.0,k5,1
173,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,3.593813663804626,1.0,k5,1
174,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,5.994842503189409,1.0,k5,1
175,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,10.0,1.0,k5,1
176,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k5,1
177,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,0.1,1.0,k5,1
178,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,0.16681005372000587,1.0,k5,1
179,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,0.2782559402207124,1.0,k5,1
180,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,0.46415888336127786,1.0,k5,1
181,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,0.774263682681127,1.0,k5,1
182,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.291549665014884,1.0,k5,1
183,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,2.1544346900318834,1.0,k5,1
184,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,3.593813663804626,1.0,k5,1
185,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,5.994842503189409,1.0,k5,1
186,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,10.0,1.0,k5,1
187,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k5,1
188,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,0.1,1.0,k5,1
189,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,0.16681005372000587,1.0,k5,1
190,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,0.2782559402207124,1.0,k5,1
191,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,0.46415888336127786,1.0,k5,1
192,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,0.774263682681127,1.0,k5,1
